Draft Position,Name,Position,School
233,Kaden Prather,QB,Kaden PratherWR |Maryland5
234,Donovan Edwards,QB,Donovan EdwardsRB |Michigan2
235,Cody Lindenberg,QB,Cody LindenbergLB |Minnesota4
236,Dean Clark,QB,Dean ClarkS |Fresno State5
237,Simeon Barrow Jr.,QB,Simeon Barrow Jr.DL |Miami (FL)12
238,Jason Marshall Jr.,QB,Jason Marshall Jr.CB |Florida6
239,Yahya Black,QB,Yahya BlackDL |Iowa4
240,C.J. Dippre,QB,C.J. DippreTE |Alabama
241,LeQuint Allen Jr.,QB,LeQuint Allen Jr.RB |Syracuse
242,Marcus Yarns,QB,Marcus YarnsRB |Delaware
243,Antwane Wells Jr.,QB,Antwane Wells Jr.WR |Mississippi
244,Jimmy Horn Jr.,QB,Jimmy Horn Jr.WR |Colorado14
245,Ahmed Hassanein,QB,Ahmed HassaneinDL |Boise State
246,Brandon Crenshaw-Dickson,QB,Brandon Crenshaw-DicksonOT |Florida
247,Alijah Huzzie,QB,Alijah HuzzieCB |North Carolina
248,Kurtis Rourke,QB,Kurtis RourkeQB |Indiana3
249,Dan Jackson,QB,Dan JacksonS |Georgia3
250,Dante Trader Jr.,QB,Dante Trader Jr.S |Maryland2
251,Shemar James,QB,Shemar JamesLB |Florida2
252,Shaun Dolac,QB,Shaun DolacLB |Buffalo2
253,Junior Tafuna,QB,Junior TafunaDL |Utah4
254,Kain Medrano,QB,Kain MedranoLB |UCLA
255,Keandre Lambert-Smith,QB,Keandre Lambert-SmithWR |Auburn2
256,Konata Mumpfield,QB,Konata MumpfieldWR |Pittsburgh2
257,Max Brosmer,QB,Max BrosmerQB |Minnesota7
258,Nazir Stackhouse,QB,Nazir StackhouseDL |Georgia2
259,Craig Woodson,QB,Craig WoodsonS |California
260,Xavier Truss,QB,Xavier TrussOT |Georgia
261,Isaiah Neyor,QB,Isaiah NeyorWR |Nebraska
262,Samuel Brown,QB,Samuel BrownWR |Miami (FL)
263,Jackson Woodard,QB,Jackson WoodardLB |UNLV
264,LaJohntay Wester,QB,LaJohntay WesterWR |Colorado
265,Chimere Dike,QB,Chimere DikeWR |Florida4
266,Jermari Harris,QB,Jermari HarrisCB |Iowa
267,Eli Cox,QB,Eli CoxIOL |Kentucky3
268,Moliki Matavao,QB,Moliki MatavaoTE |UCLA3
269,Gerad Christian-Lichtenhan,QB,Gerad Christian-LichtenhanOT |Oregon State3
270,John Williams,QB,John WilliamsOT |Cincinnati3
271,Warren Brinson,QB,Warren BrinsonDL |Georgia4
272,Ja'Quinden Jackson,QB,Ja'Quinden JacksonRB |Arkansas5
273,Jay Toia,QB,Jay ToiaDL |UCLA5
274,Trey Wedig,QB,Trey WedigOT |Indiana5
275,Luke Newman,QB,Luke NewmanIOL |Michigan State6
276,Bru McCoy,QB,Bru McCoyWR |Tennessee
277,O'Donnell Fortune,QB,O'Donnell FortuneCB |South Carolina5
278,James Burnip,QB,James BurnipP |Alabama10
279,Zeek Biggers,QB,Zeek BiggersDL |Georgia Tech4
280,Eugene Asante,QB,Eugene AsanteLB |Auburn11
281,Jamon Dumas-Johnson,QB,Jamon Dumas-JohnsonLB |Kentucky15
282,Arian Smith,QB,Arian SmithWR |Georgia2
283,Tyreem Powell,QB,Tyreem PowellLB |Rutgers3
284,Joe Huber,QB,Joe HuberIOL |Wisconsin3
285,Marques Sigle,QB,Marques SigleS |Kansas State3
286,Branson Taylor,QB,Branson TaylorOT |Pittsburgh3
287,Seth Henigan,QB,Seth HeniganQB |Memphis7
288,Bryce Cabeldue,QB,Bryce CabeldueIOL |Kansas14
289,Myles Hinton,QB,Myles HintonOT |Michigan
290,Karene Reid,QB,Karene ReidLB |Utah
291,Brandon Adams,QB,Brandon AdamsCB |UCF
292,Caden Prieskorn,QB,Caden PrieskornTE |Mississippi
293,Corey Kiner,QB,Corey KinerRB |Cincinnati
294,Jordan Oladokun,QB,Jordan OladokunCB |Bowling Green
295,Elijhah Badger,QB,Elijhah BadgerWR |Florida
296,Alijah Clark,QB,Alijah ClarkS |Syracuse
297,Brady Cook,QB,Brady CookQB |Missouri
298,R.J. Oben,QB,R.J. ObenEDGE |Notre Dame
299,Da'Quan Felton,QB,Da'Quan FeltonWR |Virginia Tech
300,Chandler Martin,QB,Chandler MartinLB |Memphis15
301,Jordan Watkins,QB,Jordan WatkinsWR |Mississippi
302,Jacob Gideon,QB,Jacob GideonIOL |Western Michigan
303,Efton Chism III,QB,Efton Chism IIIWR |Eastern Washington
304,Marcus Harris,QB,Marcus HarrisCB |California
305,Francisco Mauigoa,QB,Francisco MauigoaLB |Miami (FL)
306,Joey Hobert,QB,Joey HobertWR |Texas State
307,Johnny Walker Jr.,QB,Johnny Walker Jr.EDGE |Missouri
308,Isas Waxter,QB,Isas WaxterCB |Villanova4
309,Shilo Sanders,QB,Shilo SandersS |Colorado
310,Montrell Johnson,QB,Montrell JohnsonRB |Florida
311,Dominic Lovett,QB,Dominic LovettWR |Georgia
312,Jackson Meeks,QB,Jackson MeeksWR |Syracuse
313,Lan Larison,QB,Lan LarisonRB |UC Davis
314,Mario Anderson,QB,Mario AndersonRB |Memphis
315,Weston Franklin,QB,Weston FranklinIOL |Georgia Tech
316,Shamari Simmons,QB,Shamari SimmonsCB |Arizona State
317,Malik Verdon,QB,Malik VerdonS |Iowa State
318,Phil Mafah,QB,Phil MafahRB |Clemson
319,Adin Huntington,QB,Adin HuntingtonDL |Tulane2
320,Jared Harrison-Hunte,QB,Jared Harrison-HunteDL |SMU
321,Gavin Bartholomew,QB,Gavin BartholomewTE |Pittsburgh3
322,Addison West,QB,Addison WestIOL |Western Michigan3
323,Kenny Gallop Jr.,QB,Kenny Gallop Jr.S |Howard4
324,Jacob Bayer,QB,Jacob BayerIOL |Arkansas State4
325,Drew Moss,QB,Drew MossIOL |Colorado State4
326,Bam Martin-Scott,QB,Bam Martin-ScottLB |South Carolina4
327,Brant Kuithe,QB,Brant KuitheTE |Utah5
328,Nash Jones,QB,Nash JonesIOL |Texas State3
329,Javontez Spraggins,QB,Javontez SpragginsIOL |Tennessee4
330,Robbie Ouzts,QB,Robbie OuztsTE |Alabama4
331,Jalen McLeod,QB,Jalen McLeodLB |Auburn4
332,Fentrell Cypress,QB,Fentrell CypressCB |Florida State10
333,Glendon Miller,QB,Glendon MillerS |Maryland3
334,Theo Wease,QB,Theo WeaseWR |Missouri21
335,Rayuan Lane III,QB,Rayuan Lane IIIS |Navy2
336,Jacory Croskey-Merritt,QB,Jacory Croskey-MerrittRB |Arizona2
337,Thor Griffith,QB,Thor GriffithDL |Louisville11
338,Bryson Nesbit,QB,Bryson NesbitTE |North Carolina
339,Carson Bruener,QB,Carson BruenerLB |Washington
340,Jacolby George,QB,Jacolby GeorgeWR |Miami (FL)
341,Ben Sauls,QB,Ben SaulsK |Pittsburgh
342,Elijah Simmons,QB,Elijah SimmonsDL |Tennessee
343,Ryan Fitzgerald,QB,Ryan FitzgeraldK |Florida State20
344,Traeshon Holden,QB,Traeshon HoldenWR |Oregon
345,Ethan Downs,QB,Ethan DownsEDGE |Oklahoma
346,Steve Linton,QB,Steve LintonEDGE |Baylor
347,Hayden Conner,QB,Hayden ConnerIOL |Texas
348,DeAndre Jules,QB,DeAndre JulesDL |South Carolina
349,Power Echols,QB,Power EcholsLB |North Carolina
350,Tommy Akingbesote,QB,Tommy AkingbesoteDL |Maryland
